Word	Match	Lexicality	Old20	Old20_Diff	Ned1	Ned1_Diff	Overlap_Ratio	Maxdeviation	Summed_Deviation	Maxdeviation_Transition
samorząd	sarosted	N	2.85	0.7	0	-2	2/3	-1008	2178	_saro[st]ed_
zamiar	zasior	N	1.9	0.25	2	-3	2/3	-42	75	_za[s]ior_
zamiar	zasiur	N	2.0	0.35	0	-5	2/3	-42	104	_za[s]iur_
zamiar	zabior	N	1.9	0.25	2	-3	2/3	-79	122	_za[b]ior_
zamiar	zabiur	N	2.0	0.35	0	-5	2/3	-79	155	_za[b]iur_
zamiar	zabier	N	1.75	0.1	5	0	2/3	204	318	_za[bie]r_
zamiar	zadier	N	1.9	0.25	2	-3	2/3	-207	287	_za[d]ier_
zamiar	zadior	N	1.95	0.3	1	-4	2/3	-207	254	_za[d]ior_
zamiar	zadiur	N	2.05	0.4	0	-5	2/3	-207	271	_za[d]iur_
zamiar	zasier	N	1.7	0.05	6	1	2/3	190	267	_za[sie]r_
zamiar	zawier	N	1.65	0.0	7	2	2/3	435	692	_za[w]ier_
zamiar	zawior	N	1.95	0.3	1	-4	2/3	435	486	_za[w]ior_
zamiar	zawiur	N	2.0	0.35	0	-5	2/3	435	506	_za[w]iur_
zamiar	zagior	N	2.0	0.35	0	-5	2/3	-464	517	_za[g]ior_
zamiar	zagier	N	1.75	0.1	5	0	2/3	-464	611	_za[g]ier_
zamiar	zatier	N	1.95	0.3	1	-4	2/3	503	586	_za[t]ier_
zamiar	zatior	N	1.95	0.3	1	-4	2/3	503	556	_za[t]ior_
zamiar	zatiur	N	2.25	0.6	0	-5	2/3	503	576	_za[t]iur_
zamiar	zakior	N	2.0	0.35	0	-5	2/3	477	537	_za[k]ior_
zamiar	zakier	N	1.85	0.2	3	-2	2/3	477	865	_za[k]ier_
zamiar	nabiar	N	1.9	0.25	2	-3	2/3	-279	486	_[na]biar_
oddział	omściał	N	2.7	1.05	0	-5	2/3	38	79	_[om]ściał_
oddział	ompciał	N	2.85	1.2	0	-5	2/3	-55	93	_om[pcia]ł_
oddział	ozdniał	N	2.5	0.85	0	-5	2/3	50	91	_[oz]dniał_
oddział	ozściał	N	2.85	1.2	0	-5	2/3	50	82	_[oz]ściał_
oddział	ojtniał	N	2.7	1.05	0	-5	2/3	-42	74	_oj[tnia]ł_
oddział	ojściał	N	2.8	1.15	0	-5	2/3	56	96	_o[jśc]iał_
oddział	ojpciał	N	2.95	1.3	0	-5	2/3	-55	65	_oj[pcia]ł_
oddział	ońbmiał	N	2.75	1.1	0	-5	2/3	-102	184	_[oń]bmiał_
oddział	ozgwiał	N	2.35	0.7	0	-5	2/3	-80	130	_oz[gwia]ł_
oddział	oztriał	N	2.95	1.3	0	-5	2/3	-79	130	_oz[tria]ł_
oddział	ozpriał	N	3.0	1.35	0	-5	2/3	-81	137	_oz[pria]ł_
oddział	ozgriał	N	2.7	1.05	0	-5	2/3	-81	134	_oz[gria]ł_
oddział	ozkwiał	N	2.0	0.35	0	-5	2/3	-78	129	_oz[kwia]ł_
oddział	ozbriał	N	2.9	1.25	0	-5	2/3	-80	130	_oz[bria]ł_
oddział	ozchiał	N	2.85	1.2	0	-5	2/3	-80	130	_oz[chia]ł_
oddział	ozdriał	N	2.65	1.0	0	-5	2/3	-79	130	_oz[dria]ł_
oddział	ozśmiał	N	1.9	0.25	3	-2	2/3	-68	120	_oz[śmia]ł_
oddział	ozstiał	N	2.7	1.05	0	-5	2/3	-71	126	_oz[stia]ł_
oddział	ozświał	N	2.15	0.5	0	-5	2/3	-72	122	_oz[świa]ł_
oddział	ozgniał	N	2.6	0.95	0	-5	2/3	-77	128	_oz[gnia]ł_
wtorek	flobek	N	2.0	0.25	0	-3	2/3	-126	310	_flo[b]ek_
wtorek	flosek	N	2.0	0.25	0	-3	2/3	115	222	[_fl]osek_
wtorek	flomek	N	2.0	0.25	0	-3	2/3	115	252	[_fl]omek_
wtorek	clobek	N	2.0	0.25	0	-3	2/3	-126	293	_clo[b]ek_
wtorek	closek	N	2.0	0.25	0	-3	2/3	-89	205	_clo[s]ek_
wtorek	clomek	N	2.0	0.25	0	-3	2/3	-88	235	[_cl]omek_
wtorek	ćmobek	N	2.5	0.75	0	-3	2/3	-126	305	_ćmo[b]ek_
wtorek	ćmosek	N	2.3	0.55	0	-3	2/3	-93	217	[_ćm]osek_
wtorek	ćmomek	N	2.25	0.5	0	-3	2/3	-93	247	[_ćm]omek_
wtorek	wdobek	N	2.0	0.25	0	-3	2/3	-126	207	_wdo[b]ek_
wtorek	wdosek	N	1.9	0.15	2	-1	2/3	-89	119	_wdo[s]ek_
wtorek	wdomek	N	1.95	0.2	1	-2	2/3	-85	149	_wdo[me]k_
wtorek	dżobek	N	1.95	0.2	1	-2	2/3	-126	230	_dżo[b]ek_
wtorek	dżosek	N	2.05	0.3	1	-2	2/3	-89	142	_dżo[s]ek_
wtorek	dżomek	N	1.9	0.15	2	-1	2/3	-85	172	_dżo[me]k_
wtorek	ćwobek	N	2.3	0.55	0	-3	2/3	-126	255	_ćwo[b]ek_
wtorek	ćwosek	N	2.25	0.5	0	-3	2/3	-89	167	_ćwo[s]ek_
wtorek	ćwomek	N	2.2	0.45	0	-3	2/3	-85	197	_ćwo[me]k_
wtorek	kmobek	N	2.0	0.25	0	-3	2/3	-126	300	_kmo[b]ek_
wtorek	kmosek	N	1.95	0.2	1	-2	2/3	-89	212	_kmo[s]ek_
piątek	pumtek	N	1.95	0.4	1	-6	2/3	-203	388	_p[um]tek_
piątek	pultek	N	1.85	0.3	3	-4	2/3	-200	455	_p[ul]tek_
piątek	pilcek	N	2.0	0.45	0	-7	2/3	162	244	_pi[lc]ek_
piątek	pillek	N	2.0	0.45	0	-7	2/3	148	338	_pi[ll]ek_
piątek	pincek	N	1.9	0.35	2	-5	2/3	156	287	_pi[nc]ek_
piątek	pedtek	N	1.95	0.4	1	-6	2/3	-386	674	_p[ed]tek_
piątek	peńtek	N	1.95	0.4	1	-6	2/3	-366	659	_p[eń]tek_
piątek	peltek	N	1.95	0.4	1	-6	2/3	-280	446	_[pe]ltek_
piątek	pertek	N	1.85	0.3	3	-4	2/3	401	1053	_pe[rt]ek_
piątek	peztek	N	1.95	0.4	1	-6	2/3	-391	679	_p[ez]tek_
piątek	pettek	N	1.9	0.35	2	-5	2/3	-407	737	_p[et]tek_
piątek	pentek	N	1.9	0.35	2	-5	2/3	337	644	_pe[nt]ek_
piątek	pełtek	N	1.95	0.4	1	-6	2/3	-280	520	_[pe]łtek_
piątek	pemtek	N	1.95	0.4	1	-6	2/3	-280	548	_[pe]mtek_
piątek	pejtek	N	1.95	0.4	1	-6	2/3	-280	469	_[pe]jtek_
piątek	pirbek	N	2.0	0.45	0	-7	2/3	-455	898	_pir[be]k_
piątek	pirwek	N	1.95	0.4	1	-6	2/3	-445	966	_pir[we]k_
piątek	pirżek	N	2.0	0.45	0	-7	2/3	-396	730	_pir[że]k_
piątek	pirnek	N	1.9	0.35	2	-5	2/3	508	889	_pi[rn]ek_
